POD	eigenval	sigma	acc_eigenval	part_E	acc_part_E
336	2.107186e-12	1.452859e-06	2.237e+05	9.421e-18	1.000000
337	2.106768e-12	1.453142e-06	2.237e+05	9.419e-18	1.000000
338	2.106768e-12	1.453142e-06	2.237e+05	9.419e-18	1.000000
339	2.100074e-12	1.454178e-06	2.237e+05	9.389e-18	1.000000
340	2.100074e-12	1.454178e-06	2.237e+05	9.389e-18	1.000000
341	2.098889e-12	1.452248e-06	2.237e+05	9.384e-18	1.000000
342	2.098889e-12	1.452248e-06	2.237e+05	9.384e-18	1.000000
343	2.098723e-12	1.449653e-06	2.237e+05	9.383e-18	1.000000
344	2.098723e-12	1.449653e-06	2.237e+05	9.383e-18	1.000000
345	2.085332e-12	1.444147e-06	2.237e+05	9.324e-18	1.000000
346	2.085332e-12	1.444147e-06	2.237e+05	9.324e-18	1.000000
347	2.063936e-12	1.437455e-06	2.237e+05	9.228e-18	1.000000
348	2.063936e-12	1.437455e-06	2.237e+05	9.228e-18	1.000000
349	2.063018e-12	1.438848e-06	2.237e+05	9.224e-18	1.000000
350	2.063018e-12	1.438848e-06	2.237e+05	9.224e-18	1.000000
351	2.061685e-12	1.435857e-06	2.237e+05	9.218e-18	1.000000
352	2.061009e-12	1.437493e-06	2.237e+05	9.215e-18	1.000000
353	2.061009e-12	1.437493e-06	2.237e+05	9.215e-18	1.000000
354	2.045957e-12	1.435002e-06	2.237e+05	9.148e-18	1.000000
355	2.045957e-12	1.435002e-06	2.237e+05	9.148e-18	1.000000
356	2.040441e-12	1.428727e-06	2.237e+05	9.123e-18	1.000000
357	2.040441e-12	1.428727e-06	2.237e+05	9.123e-18	1.000000
358	2.039992e-12	1.428283e-06	2.237e+05	9.121e-18	1.000000
359	2.033951e-12	1.433334e-06	2.237e+05	9.094e-18	1.000000
360	2.033951e-12	1.433334e-06	2.237e+05	9.094e-18	1.000000
361	2.032006e-12	1.428640e-06	2.237e+05	9.085e-18	1.000000
362	2.032006e-12	1.428640e-06	2.237e+05	9.085e-18	1.000000
363	2.026017e-12	1.427079e-06	2.237e+05	9.058e-18	1.000000
364	2.026017e-12	1.427079e-06	2.237e+05	9.058e-18	1.000000
365	2.022858e-12	1.423340e-06	2.237e+05	9.044e-18	1.000000
366	2.022858e-12	1.423340e-06	2.237e+05	9.044e-18	1.000000
367	2.020406e-12	1.422183e-06	2.237e+05	9.033e-18	1.000000
368	2.020406e-12	1.422183e-06	2.237e+05	9.033e-18	1.000000
369	2.014589e-12	1.419567e-06	2.237e+05	9.007e-18	1.000000
370	2.014589e-12	1.419567e-06	2.237e+05	9.007e-18	1.000000
371	2.014407e-12	1.419737e-06	2.237e+05	9.006e-18	1.000000
372	2.014407e-12	1.419737e-06	2.237e+05	9.006e-18	1.000000
373	2.010975e-12	1.423570e-06	2.237e+05	8.991e-18	1.000000
374	2.010975e-12	1.423570e-06	2.237e+05	8.991e-18	1.000000
375	2.010447e-12	1.417902e-06	2.237e+05	8.989e-18	1.000000
